Country;Year;pop;ISO3166_alpha3;ISO3166_numeric;Region;SubRegion;OPEC;EU;OECD;biofuels_ktoe;biogeo_mtoe;biomass_mtoe;coalcons_mtoe;elect_twh;gascons_mtoe;geothermal_mtoe;hydro_mtoe;nuclear_mtoe;oilcons_mtoe;solar_mtoe;wind_mtoe
Algeria;1965;12.626952;DZA;12;Africa;Northern Africa;1;0;0;;0;0;0.07;;0.638907997;0;0.089;0;1.324613237;0;0
Algeria;1966;12.980267;DZA;12;Africa;Northern Africa;1;0;0;;0;0;0.068;;0.663736028;0;0.082;0;1.743138889;0;0
Algeria;1967;13.354197;DZA;12;Africa;Northern Africa;1;0;0;;0;0;0.052;;0.643873603;0;0.092;0;1.628721506;0;0
Algeria;1968;13.744387;DZA;12;Africa;Northern Africa;1;0;0;;0;0;0.055;;0.676977644;0;0.126;0;1.734075786;0;0
Algeria;1969;14.144438;DZA;12;Africa;Northern Africa;1;0;0;;0;0;0.07;;0.89008491;0;0.082;0;1.831980224;0;0
Algeria;1970;14.550034;DZA;12;Africa;Northern Africa;1;0;0;;0;0;0.083;;0.836704643;0;0.132;0;2.093523717;0;0
Algeria;1971;14.960109;DZA;12;Africa;Northern Africa;1;0;0;;0;0;0.023;;0.950085985;0;0.074;0;2.359419628;0;0
Algeria;1972;15.377093;DZA;12;Africa;Northern Africa;1;0;0;;0;0;0.02;;1.103192175;0;0.113;0;2.589975423;0;0
Algeria;1973;15.804428;DZA;12;Africa;Northern Africa;1;0;0;;0;0;0.023;;1.535613715;0;0.171;0;2.828920464;0;0
Algeria;1974;16.247113;DZA;12;Africa;Northern Africa;1;0;0;;0;0;0.019;;1.777687016;0;0.113;0;3.142204715;0;0
Algeria;1975;16.709099;DZA;12;Africa;Northern Africa;1;0;0;;0;0;0.024;;2.449699054;0;0.074;0;3.493608555;0;0
Algeria;1976;17.190239;DZA;12;Africa;Northern Africa;1;0;0;;0;0;0.047;;2.896603611;0;0.087;0;4.017001935;0;0
Algeria;1977;17.690184;DZA;12;Africa;Northern Africa;1;0;0;;0;0;0.061;;3.086951849;0;0.061;0;4.540541153;0;0
Algeria;1978;18.212326;DZA;12;Africa;Northern Africa;1;0;0;;0;0;0.031;;4.957330181;0;0.058;0;4.695438067;0;0
Algeria;1979;18.760761;DZA;12;Africa;Northern Africa;1;0;0;;0;0;0.072;;7.009780739;0;0.066;0;5.616390131;0;0
Algeria;1980;19.337715;DZA;12;Africa;Northern Africa;1;0;0;;0;0;0.064;;9.409823732;0;0.058;0;5.692384351;0;0
Algeria;1981;19.943664;DZA;12;Africa;Northern Africa;1;0;0;;0;0;0.045;;12.23194325;0;0.082;0;6.132680376;0;0
Algeria;1982;20.575701;DZA;12;Africa;Northern Africa;1;0;0;;0;0;0.835;;13.8788693;0;0.108;0;6.498144263;0;0
Algeria;1983;21.228289;DZA;12;Africa;Northern Africa;1;0;0;;0;0;0.745;;15.19475494;0;0.053;0;7.299434317;0;0
Algeria;1984;21.893853;DZA;12;Africa;Northern Africa;1;0;0;;0;0;0.826;;13.34920464;0;0.103;0;8.08271766;0;0
Algeria;1985;22.565905;DZA;12;Africa;Northern Africa;1;0;0;;0;0;0.862;12.274;13.22506449;0;0.146173689;0;8.302132679;0;0
Algeria;1986;23.241272;DZA;12;Africa;Northern Africa;1;0;0;;0;0;0.885;12.981;14.48301806;0;0.056568765;0;8.428310762;0;0
Algeria;1987;23.917897;DZA;12;Africa;Northern Africa;1;0;0;;0;0;1.058;12.722;14.81405847;0;0.112911255;0;8.521111254;0;0
Algeria;1988;24.591492;DZA;12;Africa;Northern Africa;1;0;0;;0;0;0.995;13.966;16.69271281;0;0.041408336;0;8.527308565;0;0
Algeria;1989;25.257672;DZA;12;Africa;Northern Africa;1;0;0;;0;0;0.841;15.324;15.70786758;0;0.051138164;0;8.936944206;0;0
Algeria;1990;25.912367;DZA;12;Africa;Northern Africa;1;0;0;;0;0;0.659;16.104;16.77547291;0;0.030547133;0;9.614068429;0;0
Algeria;1991;26.554329;DZA;12;Africa;Northern Africa;1;0;0;;0;0;0.68;17.345;16.56857266;0;0.066298593;0;9.512277396;0;0
Algeria;1992;27.181094;DZA;12;Africa;Northern Africa;1;0;0;;0;0;0.808;18.286;17.10651333;0;0.045028737;0;9.569445878;0;0
Algeria;1993;27.786259;DZA;12;Africa;Northern Africa;1;0;0;;0;0;0.658;19.414;15.35199914;0;0.079875096;0;9.523205216;0;0
Algeria;1994;28.362253;DZA;12;Africa;Northern Africa;1;0;0;;0;0;0.62;19.883;16.17960017;0;0.03756166;0;9.118735669;0;0
Algeria;1995;28.904298;DZA;12;Africa;Northern Africa;1;0;0;;0;0;0.62;19.715;17.38789768;0;0.043671087;0;8.868639964;0;0
Algeria;1996;29.411415;DZA;12;Africa;Northern Africa;1;0;0;;0;0;0.292;20.654;17.85963027;0;0.030547133;0;8.462775557;0;0
Algeria;1997;29.886839;DZA;12;Africa;Northern Africa;1;0;0;;0;0;0.512;21.497;16.6844368;0;0.016970629;0;8.395822824;0;0
Algeria;1998;30.335732;DZA;12;Africa;Northern Africa;1;0;0;;0;0;0.548;23.262;17.25548151;0;0.048649138;0;8.655094416;0;0
Algeria;1999;30.765613;DZA;12;Africa;Northern Africa;1;0;0;;0;0;0.587;24.757;17.63617799;0;0.045933837;0;8.503727071;0;0
Algeria;2000;31.18366;DZA;12;Africa;Northern Africa;1;0;0;;0;0;0.485;25.412;16.42415628;0;0.012218853;0;8.867797053;0;0
