Year;pop;ISO3166_alpha3;ISO3166_numeric;Region;SubRegion;OPEC;EU;OECD;co2_mtco2;coalprod_mtoe;gasprod_mtoe;oilprod_mt
1965;12.626952;DZA;12;Africa;Northern Africa;1;0;0;5.568752776;;;26.13931234
1966;12.980267;DZA;12;Africa;Northern Africa;1;0;0;6.867505979;;;33.64247607
1967;13.354197;DZA;12;Africa;Northern Africa;1;0;0;6.369306902;;;38.64524181
1968;13.744387;DZA;12;Africa;Northern Africa;1;0;0;6.77113723;;;42.42374811
1969;14.144438;DZA;12;Africa;Northern Africa;1;0;0;7.592118351;;;44.43579345
1970;14.550034;DZA;12;Africa;Northern Africa;1;0;0;8.264424633;;2.096313414;48.3134937
1971;14.960109;DZA;12;Africa;Northern Africa;1;0;0;8.930844168;;2.209694755;36.79765995
1972;15.377093;DZA;12;Africa;Northern Africa;1;0;0;9.986480526;;2.799774291;49.72648111
1973;15.804428;DZA;12;Africa;Northern Africa;1;0;0;11.61221403;;3.715928633;51.69863224
1974;16.247113;DZA;12;Africa;Northern Africa;1;0;0;12.97369526;;4.296076956;47.83411335
1975;16.709099;DZA;12;Africa;Northern Africa;1;0;0;15.47522945;;5.290025795;46.80389924
1976;17.190239;DZA;12;Africa;Northern Africa;1;0;0;17.88375812;;6.663015907;52.22913753
1977;17.690184;DZA;12;Africa;Northern Africa;1;0;0;19.34421075;;6.377079751;55.75623426
1978;18.212326;DZA;12;Africa;Northern Africa;1;0;0;24.53464182;;9.88983233;56.9353539
1979;18.760761;DZA;12;Africa;Northern Africa;1;0;0;32.11140668;;16.21104901;58.0864301
1980;19.337715;DZA;12;Africa;Northern Africa;1;0;0;38.51578477;;13.25;51.54245542
1981;19.943664;DZA;12;Africa;Northern Africa;1;0;0;46.31018066;;15.361;45.92668514
1982;20.575701;DZA;12;Africa;Northern Africa;1;0;0;54.25844173;;20.043;45.69070529
1983;21.228289;DZA;12;Africa;Northern Africa;1;0;0;59.03239057;;28.701;44.95342317
1984;21.893853;DZA;12;Africa;Northern Africa;1;0;0;56.95771914;;29.214;48.78596222
1985;22.565905;DZA;12;Africa;Northern Africa;1;0;0;57.61245138;;32.105;47.06101826
1986;23.241272;DZA;12;Africa;Northern Africa;1;0;0;60.98556138;;32.837;48.47924874
1987;23.917897;DZA;12;Africa;Northern Africa;1;0;0;62.67455687;;37.06;50.1977563
1988;24.591492;DZA;12;Africa;Northern Africa;1;0;0;66.88505873;;38.743;52.57526952
1989;25.257672;DZA;12;Africa;Northern Africa;1;0;0;65.1347226;;41.774;54.48481612
1990;25.912367;DZA;12;Africa;Northern Africa;1;0;0;66.10931915;;44.417;58.35548992
1991;26.554329;DZA;12;Africa;Northern Africa;1;0;0;65.7926721;;47.896;58.69372796
1992;27.181094;DZA;12;Africa;Northern Africa;1;0;0;67.0192155;;49.872;56.50141058
1993;27.786259;DZA;12;Africa;Northern Africa;1;0;0;62.52537382;;50.513;56.32321159
1994;28.362253;DZA;12;Africa;Northern Africa;1;0;0;63.46065029;;46.441;56.07125441
1995;28.904298;DZA;12;Africa;Northern Africa;1;0;0;65.8112943;;52.873;55.81125441
1996;29.411415;DZA;12;Africa;Northern Africa;1;0;0;64.89478554;;56.106;59.0123199
1997;29.886839;DZA;12;Africa;Northern Africa;1;0;0;62.4271122;;64.367;61.56702519
1998;30.335732;DZA;12;Africa;Northern Africa;1;0;0;64.69332304;;68.927;61.38579345
1999;30.765613;DZA;12;Africa;Northern Africa;1;0;0;64.75733712;;77.478;58.52845907
